Groupon,com.groupon,http://lh3.googleusercontent.com/i93nI0wKn_VBPCG0v6ZmJFBqnTw461--nEcFUAZSREhPLExrh8TNILijPFKEvMcWP9c=w300,CN_SHOP
Uber,com.ubercab,http://lh3.googleusercontent.com/aMoTzec746RIY9GFOKMjipqBShsKos_KxeDtS59tRp4-ePCpGqW2bS-ySyUEL6q3gkA=w300,CN_TRNST
Ticketmaster,com.ticketmaster.mobile.android.na,http://lh3.googleusercontent.com/kUSqR90dN2oDgKOvIyskDPPfhP5AY8CCapcH8RVnZ5bWSs1dY9QcF8oaa8uYuRO9nNA=w300,CN_SHOP
Amazon,com.amazon.mShop.android.shopping,http://lh4.ggpht.com/jEV6nsNv-638GnXkiO5Cfk6zF5lKZCZuWdOtmlL_7PXR79vgteOIHcNDPhNYqGC7dzg=w300,CN_SHOP
Stubhub,com.stubhub,https://lh3.googleusercontent.com/NPp8HlMrUJPsDQO9nvyGx0WqpX_qMqYjmg6Vng5KlcKsXctF-6GC8Y6zhyLwoQdJs8z1=w300,CN_SPRT
Airbnb,com.airbnb.android,http://lh6.ggpht.com/4jnm0-_9TBUdvNtQpefYE0T33a0iAx8AuovO3Uncs1nsSkKhjNc-SbIKFhiSBpYJl5q4=w300,CN_TRVL
OpenTable,com.opentable,http://lh3.googleusercontent.com/8SfX0tOYVEy79kwfuatb_54Ro-HDySihjxvMtgBrrkTtjLraFK0O13VGmqAIP7g945Y=w300,CN_RSTRNT
Goldstar,com.goldstar,https://lh4.ggpht.com/E3LwBtXWvwLiz5xHsfNWxarw3h623lv9mSQzV1Nwa3rnRODuZfCB5TfbYfEKZlZZY5k=w300,CN_SHOP
AccuWeather,com.accuweather.android,https://lh3.googleusercontent.com/gmLm8q7-hDnJ6V2RJOsgtFzXA0vXJHcso7tTbqeSu03kDR3I62WxHU3d4nrozdWIQKGU=w300,CN_NEWS
Booking.com,com.booking,https://lh5.ggpht.com/O6R2BhEFSV2ZFbk-7blCqjoVzsiEGtrbtPS5tCBNwU3Ovh4FeghfUa_p7dCSu4Eyito=w300,CN_TRVL
Firefox,org.mozilla.firefox,https://lh5.ggpht.com/8PODwBXKk4L201m4IO1wifRDfbn4Q1JxNxOzj-5TXPJ85_S-vOqntLi7TsVyeFQM0w4=w300,CN_WORK
Hangouts,com.google.android.talk,https://lh6.ggpht.com/5puZavg4x2pThSTJgos1sARWoARea7tzr_B8AWEwn2lV05RoXo9M8BM2XwcvwG6nIGc=w300,CN_SOCIAL
Snapchat,com.snapchat.android,http://lh4.ggpht.com/vdK_CsMSsJoYvJpYgaj91fiJ1T8rnSHHbXL0Em378kQaaf_BGyvUek2aU9z2qbxJCAFV=w300,CN_SOCIAL
Twitter,com.twitter.android,http://lh3.ggpht.com/lSLM0xhCA1RZOwaQcjhlwmsvaIQYaP3c5qbDKCgLALhydrgExnaSKZdGa8S3YtRuVA=w300,CN_SOCIAL
Whatsapp,com.whatsapp,http://lh6.ggpht.com/mp86vbELnqLi2FzvhiKdPX31_oiTRLNyeK8x4IIrbF5eD1D5RdnVwjQP0hwMNR_JdA=w300,CN_SOCIAL
Line,jp.naver.line.android,https://lh4.ggpht.com/IkQ_kmk57G3fFkTOmtfQdp2XTZ8gic119yqvsKDkvbuPotfC7R05JPBdtuGm3OmA15xE=w300,CN_SOCIAL
WeChat,com.tencent.mm,https://lh3.ggpht.com/zC5Q4atR1JytzagSPIPAg-z4uItJGsTVjZHvf9nSeGdwrwnuPPW_OqMk6FAI3DJvzQ=w300,CN_SOCIAL
Netflix,com.netflix.mediaclient,https://lh5.ggpht.com/gSs4M00WA2RgVosyh8vc3w3K5s2xZ2gjMpaY63izhCcaGIpCkDdGg-IAqdeJwShT4qk=w300,CN_ENT
Spotify,com.spotify.music,https://lh3.googleusercontent.com/UrY7BAZ-XfXGpfkeWg0zCCeo-7ras4DCoRalC_WXXWTK9q5b0Iw7B0YQMsVxZaNB7DM=w300,CN_MUSIC
Facebook Messenger,com.facebook.orca,https://lh5.ggpht.com/0VYAvZLR9YhosF-thqm8xl8EWsCfrEY_uk2og2f59K8IOx5TfPsXjFVwxaHVnUbuEjc=w300,CN_SOCIAL
